'Index Name', 'Usage', 'Run', 'Phase', 'Population', 'Load Elapsed', 'COMPLETE Elapsed', 'COMPLETE Count', 'HIGHCARD Elapsed', 'HIGHCARD Count', 'LOWCARD Elapsed', 'LOWCARD Count'
'BF-Trie4','GateKeeper', 0,'Query',100,5291042,0.072742454,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 0,'Delete',100,5291042,0.0026259350000000002,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 1,'Query',100,2539785,0.04696112,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 1,'Delete',100,2539785,0.002005175,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 2,'Query',100,4165516,0.042084003,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 2,'Delete',100,4165516,0.0017410980000000002,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 3,'Query',100,3251429,0.039232143000000004,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 3,'Delete',100,3251429,0.003240301,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 4,'Query',100,1097326,0.05068936,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 4,'Delete',100,1097326,0.0018686140000000002,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 0,'Query',1000,112865684,3.8869320550000004,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 0,'Delete',1000,112865684,0.019761030000000002,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 1,'Query',1000,40600799,3.855631182,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 1,'Delete',1000,40600799,0.014949257,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 2,'Query',1000,34182281,3.8477201900000004,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 2,'Delete',1000,34182281,0.0058202770000000004,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 3,'Query',1000,23840349,3.8911666780000003,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 3,'Delete',1000,23840349,0.0058745360000000005,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 4,'Query',1000,24914124,4.424449314,1,0.0,0,0.0,0
'BF-Trie4','GateKeeper', 4,'Delete',1000,24914124,0.005845735,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 0,'Query',100,475859,0.05316666900000001,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 0,'Delete',100,475859,6.72079E-4,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 1,'Query',100,842148,0.052112171000000006,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 1,'Delete',100,842148,0.001313008,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 2,'Query',100,973564,0.052429489,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 2,'Delete',100,973564,7.40829E-4,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 3,'Query',100,371628,0.048800538000000004,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 3,'Delete',100,371628,7.206620000000001E-4,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 4,'Query',100,413561,0.035890387,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 4,'Delete',100,413561,7.018930000000001E-4,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 0,'Query',1000,35157353,3.882240292,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 0,'Delete',1000,35157353,0.006034847,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 1,'Query',1000,101525897,3.872291226,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 1,'Delete',1000,101525897,0.006141945,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 2,'Query',1000,167538865,3.904488272,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 2,'Delete',1000,167538865,0.0055104460000000004,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 3,'Query',1000,171474283,3.919915393,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 3,'Delete',1000,171474283,0.005137709000000001,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 4,'Query',1000,428121239,4.427488505,1,0.0,0,0.0,0
'BF-Trie8','GateKeeper', 4,'Delete',1000,428121239,0.005359305,1,0.0,0,0.0,0
